Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
How Can Geography and Mobile Phones Contribute to Psychotherapy?,Adrián Aguilera,Journal of Medical Systems,2017,,,http://doi.org/10.1007/s10916-017-0742-3
,Carlos Ferrás Sexto,,,,,
,Maria Yolanda García Vázquez,,,,,
,Álvaro Rocha,,,,,
How mobile phone handovers reflect urban mobility: A simulation study,Francesco Viti,2017 5th IEEE International Conference on Models…,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8005721
,Raphaël Frank,,,,,
,Thierry Derrmann,,,,,
Human Generated Power for Mobile Electronics,Thomas Engel,,2004,5,21,https://pdfs.semanticscholar.org/bdc9/3d57dfe839a674ce65b14ab602e43b6ae3dd.pdf
Human Habits Investigation : from Mobility Reconstruction to Mobile Traffic Prediction. (L'étude des habitudes humaines : de la reconstruction de la mobilité à la prédiction du trafic mobile),Guangshuo Chen,,2018,,,https://pdfs.semanticscholar.org/b6a6/14c941459014041dcf98c776f5adc6bb8d0e.pdf
Human Mobility and Spatial Disease Dynamics,Alejandro Morales Gallardo,,2009,,,https://pdfs.semanticscholar.org/3b77/c8873719fb0313f5629c045bf2d4a3434e4c.pdf
,Dirk Brockmann,,,,,
,V. David,,,,,
Human Mobility in a Continuum Approach,Amos Maritan,PloS one,2013,,9,https://pdfs.semanticscholar.org/cc43/c080340817029fd497536cc9bd39b0a76dd2.pdf
,Filippo Simini,,,,,
,Zoltán Néda,,,,,
"Human mobility in opportunistic networks: Characteristics, models and prediction methods",Behrouz Jedari,J. Network and Computer Applications,2014,,55,http://doi.org/10.1016/j.jnca.2014.03.007
,Feng Xia,,,,,
,Guowei Wu,,,,,
,Poria Pirozmand,,,,,
"Human mobility in opportunistic networks: Characteristics, models and prediction methods",Behrouz Jedari,J. Network and Computer Applications,2014,,55,http://doi.org/10.1016/j.jnca.2014.03.007
,Feng Xia,,,,,
,Guowei Wu,,,,,
,Poria Pirozmand,,,,,
"Human mobility in opportunistic networks: Characteristics, models and prediction methods",Behrouz Jedari,J. Network and Computer Applications,2014,,55,http://doi.org/10.1016/j.jnca.2014.03.007
,Feng Xia,,,,,
,Guowei Wu,,,,,
,Poria Pirozmand,,,,,
Human mobility prediction based on individual and collective geographical preferences,Carlo Ratti,13th International IEEE Conference on Intelligent…,2010,6,14,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5625119
,Francesco Calabrese,,,,,
,Giusy Di Lorenzo,,,,,
"Human mobility, social ties, and link prediction",Albert-László Barabási,KDD,2011,28,70,http://dl.acm.org/citation.cfm?id=2020581
,Chaoming Song,,,,,
,Dashun Wang,,,,,
,Dino Pedreschi,,,,,
,Fosca Giannotti,,,,,
Human walk aware mobility resistant efficient clustering for data gathering in cell phone based wireless sensor networks,Mehul B. Shah,2011 20th Annual Wireless and Optical…,2011,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5872283
,Prashant P. Verma,,,,,
,S. N. Merchant,,,,,
,Uday B. Desai,,,,,
Human-in-the-Loop Mobile Networks: A Survey of Recent Advancements,Alexey Pozdnukhov,IEEE Journal on Selected Areas in Communications,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7911263
,Cédric Langbort,,,,,
,Jean C. Walrand,,,,,
,Lin Zhang,,,,,
,Lingjie Duan,,,,,
,Longbo Huang,,,,,
Identifying human spatio-temporal activity patterns from mobile-phone traces,Francesco Calabrese,2011 14th International IEEE Conference on…,2011,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6082974
,Giusy Di Lorenzo,,,,,
Impact of human mobility on social networks,Chaoming Song,Journal of Communications and Networks,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7104838
,Dashun Wang,,,,,
Impact of human mobility on the emergence of dengue epidemics in Pakistan.,A. P. Wesolowski,Proceedings of the National Academy of Sciences…,2015,3,38,https://pdfs.semanticscholar.org/cd39/84dc3f7ab8431b6b3dd7abb4f0a494e581a8.pdf
,Caroline O. Buckee,,,,,
,Taimur A. Qureshi,,,,,
Impact of human mobility on the emergence of dengue epidemics in Pakistan.,A. P. Wesolowski,Proceedings of the National Academy of Sciences…,2015,3,38,https://pdfs.semanticscholar.org/cd39/84dc3f7ab8431b6b3dd7abb4f0a494e581a8.pdf
,Caroline O. Buckee,,,,,
,Taimur A. Qureshi,,,,,
Improving mobility prediction performance with state based prediction method when the user departs from routine,Airui Li,2016 IEEE International Conference on Big Data…,2016,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7509835
,Jie Yang,,,,,
,Qiujian Lv,,,,,
,Yuanyuan Qiao,,,,,
Improving official statistics in emerging markets using machine learning and mobile phone data,Alex 'Sandy' Pentland,EPJ Data Science,2017,1,,http://doi.org/10.1140/epjds%2Fs13688-017-0099-3
,Eaman Jahani,,,,,
,Johannes Bjelland,,,,,
,Linus Bengtsson,,,,,
,Pål Sundsøy,,,,,
,Yves-Alexandre de Montjoye,,,,,
Incremental Learning with Accuracy Prediction of Social and Individual Properties from Mobile-Phone Data,Alex Pentland,2012 International Conference on Privacy…,2012,,,https://arxiv.org/pdf/1111.4645.pdf
,Michael Fire,,,,,
,Nadav Aharony,,,,,
,Yaniv Altshuler,,,,,
,Yuval Elovici,,,,,
Inferring Individual Daily Activities from Mobile Phone Traces : A Boston Example ( Forthcoming in Environment and Planning B : Planning and Design ),Carlo Ratti,,2015,,,https://pdfs.semanticscholar.org/b32a/799aff89a30c57bac938b7dd47accae7130a.pdf
,Joseph Ferreira,,,,,
,Mi Diao,,,,,
,Yi Zhu,,,,,
Inferring Individual Social Capital Automatically via Phone Logs,Isha Ghosh,PACMHCI,2017,,,http://dl.acm.org/citation.cfm?id=3134730
,Vivek K. Singh,,,,,
Inferring human mobility using communication patterns,Hang-Hyun Jo,Scientific reports,2014,,8,https://pdfs.semanticscholar.org/1cca/15b2c387007c032e1cfa5451cd6dc6266763.pdf
,Jari Saramäki,,,,,
,Marija Mitrovi_,,,,,
,Raj Kumar Pan,,,,,
,Vasyl Palchykov,,,,,
Inferring human mobility using communication patterns,Hang-Hyun Jo,Scientific reports,2014,,8,https://pdfs.semanticscholar.org/1cca/15b2c387007c032e1cfa5451cd6dc6266763.pdf
,Jari Saramäki,,,,,
,Marija Mitrovi_,,,,,
,Raj Kumar Pan,,,,,
,Vasyl Palchykov,,,,,
Inferring land use from mobile phone activity,Dietmar Bauer,UrbComp@KDD,2012,4,36,https://arxiv.org/pdf/1207.1115.pdf
,Jameson L. Toole,,,,,
,Marta C. González,,,,,
,Michael Ulm,,,,,
Inferring land use from mobile phone activity,Dietmar Bauer,UrbComp@KDD,2012,4,36,https://arxiv.org/pdf/1207.1115.pdf
,Jameson L. Toole,,,,,
,Marta C. González,,,,,
,Michael Ulm,,,,,
Inferring travel purpose from crowd-augmented human mobility data,Gerhard Tröster,Urb-IoT,2014,1,6,https://pdfs.semanticscholar.org/5373/28f97adf58eb3ca05c2ca8fea8ab5d7bc268.pdf
,Ulf Blanke,,,,,
,Zack Zhu,,,,,
Integrated Service Mobile Internet: RSVP over Mobile IPv4&6,Ruay-Shiung Chang,MONET,2003,1,,https://pdfs.semanticscholar.org/b133/50dded93c8d625ea7d0c566a92c391b9ceff.pdf
,Shing-Jiuan Leu,,,,,
Interference Prediction in Mobile Ad Hoc Networks With a General Mobility Model,Rodney A. Kennedy,IEEE Transactions on Wireless Communications,2015,,,https://arxiv.org/pdf/1503.08889.pdf
,Xiangyun Zhou,,,,,
,Yirui Cong,,,,,
LIPS: Lifestyle Learning via Mobile Phone Sensing,Dejun Yang,2016 IEEE Global Communications Conference…,2016,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7841959
,Guoliang Xue,,,,,
,Jian Tang,,,,,
,Jing Wang,,,,,
,Teng Li,,,,,
,Xiang Sheng,,,,,
Large-Scale Mobile Traffic Analysis: A Survey,Diala Naboulsi,IEEE Communications Surveys & Tutorials,2016,2,47,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7299258
,Marco Fiore,,,,,
,Razvan Stanica,,,,,
,Stephane Ribot,,,,,
Learners ’ Acceptance of the Use of Mobile Phones to Deliver Tutorials in a Distance Learning Context : A Case Study at the University of Ibadan,Gloria Adedoja,,2013,3,,https://pdfs.semanticscholar.org/ff84/92efc8ce3f41b2c2522985f4d9f2e584d682.pdf
Leveraging periodicity in human mobility for next place prediction,Bhaskar Prabhala,2014 IEEE Wireless Communications and Networking…,2014,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6952829
,Budhaditya Deb,,,,,
,Jiawei Han,,,,,
,Jingjing Wang,,,,,
,Thomas F. La Porta,,,,,
Lifting the Predictability of Human Mobility on Activity Trajectories,Defu Lian,2015 IEEE International Conference on Data Mining…,2015,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7395785
,Guangzhong Sun,,,,,
,Xianming Li,,,,,
,Xing Xie,,,,,
Link prediction in social networks: the state-of-the-art,Baowen Xu,Science China Information Sciences,2014,7,50,https://arxiv.org/pdf/1411.5118.pdf
,Peng Wang,,,,,
,Xiaoyu Zhou,,,,,
,Yurong Wu,,,,,
MPaaS: Mobility prediction as a service in telecom cloud,Daqiang Zhang,Information Systems Frontiers,2014,,,http://doi.org/10.1007/s10796-013-9476-z
,Daqing Zhang,,,,,
,Haoyi Xiong,,,,,
,Kun Yang,,,,,
,Monique Becker,,,,,
,Vincent Gauthier,,,,,
MViewer: mobile phone spatiotemporal data viewer,Huamin Qu,Frontiers of Computer Science,2013,,,http://doi.org/10.1007/s11704-013-3009-2
,Jiansu Pu,,,,,
,Lionel M. Ni,,,,,
,Panpan Xu,,,,,
,Siyuan Liu,,,,,
Managing travel demand: Location recommendation for system efficiency based on mobile phone data,Alex Pentland,ArXiv,2016,1,,https://arxiv.org/pdf/1610.06825.pdf
,Haris N. Koutsopolous,,,,,
,Jinhua Zhao,,,,,
,Larry Rudolph,,,,,
,Yan Leng,,,,,
Mapping poverty using mobile phone and satellite data,Jessica E. Steele,"Journal of the Royal Society, Interface",2017,1,15,https://pdfs.semanticscholar.org/fb09/f795e85f2662867dba06e909e2b168967473.pdf
,Linus Bengtsson,,,,,
,Pål Roe Sundsøy,,,,,
Micro Factors Influencing the Attitudes toward and the Use of a Mobile Technology: A Model of Cell-Phone Use in Guinea,Bangaly Kaba,IEEE Transactions on Professional Communication,2009,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5210240
,Koffi N'Da,,,,,
,Peter Meso,,,,,
,Victor Wacham A. Mbarika,,,,,
Mining GPS data for mobility patterns: A survey,Miao Lin,Pervasive and Mobile Computing,2014,5,17,http://doi.org/10.1016/j.pmcj.2013.06.005
,Wen-Jing Hsu,,,,,
Mining individual mobility patterns from mobile phone data,Rong Xie,TDMA '11,2011,,,http://dl.acm.org/citation.cfm?id=2030088
,Xiaoqing Zuo,,,,,
,Yanbing Ji,,,,,
,Yang Yue,,,,,
Mobile Communication Signatures of Unemployment,Abdullah Almaatouq,SocInfo,2016,,,https://arxiv.org/pdf/1609.01778.pdf
,Alex Pentland,,,,,
,Francisco Prieto Castrillo,,,,,
Mobile Crowd Sensing and Computing: The Review of an Emerging Human-Powered Sensing Paradigm,Bin Guo,ACM Comput. Surv.,2015,15,143,http://dl.acm.org/citation.cfm?id=2794400
,Xingshe Zhou,,,,,
,Zhu Wang,,,,,
Mobile Crowd Sensing and Computing: The Review of an Emerging Human-Powered Sensing Paradigm,Bin Guo,ACM Comput. Surv.,2015,15,143,http://dl.acm.org/citation.cfm?id=2794400
,Xingshe Zhou,,,,,
,Zhu Wang,,,,,
Mobile Crowd Sensing and Computing: The Review of an Emerging Human-Powered Sensing Paradigm,Bin Guo,ACM Comput. Surv.,2015,15,143,http://dl.acm.org/citation.cfm?id=2794400
,Xingshe Zhou,,,,,
,Zhu Wang,,,,,
Mobile Crowd Sensing for Traffic Prediction in Internet of Vehicles,Athanasios V. Vasilakos,Sensors,2016,2,137,https://pdfs.semanticscholar.org/0193/e7741322862159e6b0dc34e732e8f3fa95b6.pdf
,Jiafu Wan,,,,,
,Jianqi Liu,,,,,
,Keliang Zhou,,,,,
,Muhammad Imran,,,,,
,Zehui Shao,,,,,
Mobile Edge Computing: Survey and Research Outlook,Changsheng You,ArXiv,2017,6,55,https://pdfs.semanticscholar.org/c119/8b6245865c6583dc50d1c364a7fcf0263dec.pdf
,Jun Zhang,,,,,
,Kaibin Huang,,,,,
,Khaled Ben Letaief,,,,,
,Yuyi Mao,,,,,
Mobile Phones and Outdoor Advertising: Measurable Advertising,Carlo Ratti,IEEE Pervasive Computing,2011,4,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5710864
,Daniele Quercia,,,,,
,Francesco Calabrese,,,,,
,Giusy Di Lorenzo,,,,,
Mobile Recommender Systems,Francesco Ricci,J. of IT & Tourism,2010,9,18,https://pdfs.semanticscholar.org/1078/b43f1f0131880f2122af5265473712b8f58a.pdf
Mobile Recommender Systems,Francesco Ricci,J. of IT & Tourism,2010,9,18,https://pdfs.semanticscholar.org/1078/b43f1f0131880f2122af5265473712b8f58a.pdf
Mobile Video Surveillance Systems: An Architectural Overview,Giovanni Gualdi,WMMP,2008,,,https://pdfs.semanticscholar.org/10b7/4c93945d89b0da9779269e7046c1389ed7dd.pdf
,Rita Cucchiara,,,,,
Mobile ad hoc networking: imperatives and challenges,Imrich Chlamtac,Ad Hoc Networks,2003,5,,http://doi.org/10.1016/S1570-8705%2803%2900013-1
,Jennifer J.-N. Liu,,,,,
,Marco Conti,,,,,
Mobile big-data-driven rating framework: measuring the relationship between human mobility and app usage behavior,Jiajia Liu,IEEE Network,2016,,7,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7474339
,Jie Yang,,,,,
,Xiao-Xing Zhao,,,,,
,Yuanyuan Qiao,,,,,
Mobile cloud computing: A survey,J. Wenny Rahayu,Future Generation Comp. Syst.,2013,53,190,http://doi.org/10.1016/j.future.2012.05.023
,Niroshinie Fernando,,,,,
,Seng Wai Loke,,,,,
Mobile cloud computing: A survey,J. Wenny Rahayu,Future Generation Comp. Syst.,2013,53,190,http://doi.org/10.1016/j.future.2012.05.023
,Niroshinie Fernando,,,,,
,Seng Wai Loke,,,,,
Mobile phone data highlights the role of mass gatherings in the spreading of cholera outbreaks.,Enrico Bertuzzo,Proceedings of the National Academy of Sciences…,2016,,,https://pdfs.semanticscholar.org/54d2/c25815d0b36514b7f1d10cfb37da676c6663.pdf
,Flavio Finger,,,,,
,Tina Genolet,,,,,
Mobile phones as medical devices in mental disorder treatment: an overview,Amir Muaremi,Personal and Ubiquitous Computing,2014,2,26,http://doi.org/10.1007/s00779-014-0829-5
,Franz Gravenhorst,,,,,
,Gerhard Tröster,,,,,
Mobile phones as medical devices in mental disorder treatment: an overview,Amir Muaremi,Personal and Ubiquitous Computing,2014,2,26,http://doi.org/10.1007/s00779-014-0829-5
,Franz Gravenhorst,,,,,
,Gerhard Tröster,,,,,
Mobile technologies in mobile spaces: Findings from the context of train travel,Carolyn M. Axtell,Int. J. Hum.-Comput. Stud.,2008,1,,http://doi.org/10.1016/j.ijhcs.2008.07.001
,Donald Hislop,,,,,
,Steve Whittaker,,,,,
Mobiles and mobility : The Effect of Mobile Phones on Migration in Niger _,Jenny Aker,,2011,,,https://pdfs.semanticscholar.org/a61c/4f0fde427d5ccdec6a4b1bf6e169afc5fe23.pdf
,Michael A. Clemens,,,,,
Mobiles and mobility : The Effect of Mobile Phones on Migration in Niger _,Jenny Aker,,2011,,,https://pdfs.semanticscholar.org/a61c/4f0fde427d5ccdec6a4b1bf6e169afc5fe23.pdf
,Michael A. Clemens,,,,,
Mobility Increases Localizability: A Survey on Wireless Indoor Localization using Inertial Sensors,Chenshu Wu,ACM Comput. Surv.,2015,7,44,http://dl.acm.org/citation.cfm?id=2676430
,Xinglin Zhang,,,,,
,Xu Wang,,,,,
,Yunhao Liu,,,,,
,Zheng Yang,,,,,
,Zimu Zhou,,,,,
"Mobility Models, Traces and Impact of Mobility on Opportunistic Routing Algorithms: A Survey",Parama Bhaumik,IEEE Communications Surveys & Tutorials,2015,5,16,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7080887
,Suvadip Batabyal,,,,,
Mobility Prediction Using Mobile User Profiles,Dominique Barth,2011 IEEE 19th Annual International Symposium on…,2011,3,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6005397
,Leïla Kloul,,,,,
,Samir Bellahsene,,,,,
Mobility of plasmids.,Chris Smillie,Microbiology and molecular biology reviews : MMBR,2010,17,,https://pdfs.semanticscholar.org/1569/b83db40efdee181d147cdde41d6dfdd74355.pdf
,Eduardo P. C. Rocha,,,,,
,F Sebastián de la Cruz,,,,,
,Maria del Pilar Garcillán-Barcia,,,,,
,María Victoria Francia,,,,,
Mobility prediction based on collective movement behaviors in public WLANs,Dinh Que Tran,2015 Science and Information Conference (SAI),2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7237265
,Thuy-Van T. Duong,,,,,
Mobility prediction based on collective movement behaviors in public WLANs,Dinh Que Tran,2015 Science and Information Conference (SAI),2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7237265
,Thuy-Van T. Duong,,,,,
Mobility prediction in telecom cloud using mobile calls,Daqiang Zhang,IEEE Wireless Communications,2014,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6757894
,Daqing Zhang,,,,,
,Haoyi Xiong,,,,,
,Min Chen,,,,,
,Mohsen Guizani,,,,,
Mobility prediction in telecom cloud using mobile calls,Daqiang Zhang,IEEE Wireless Communications,2014,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6757894
,Daqing Zhang,,,,,
,Haoyi Xiong,,,,,
,Min Chen,,,,,
,Mohsen Guizani,,,,,
Mobility prediction-based smartphone energy optimization for everyday location monitoring,Elmurod Talipov,SenSys,2011,6,16,http://dl.acm.org/citation.cfm?id=2070952
,Hojung Cha,,,,,
,Hyojeong Shin,,,,,
,Yohan Chon,,,,,
"Mobility, Data Mining and Privacy: The GeoPKDD Paradigm",G. White,,2009,1,,https://pdfs.semanticscholar.org/c0fb/b279633b359930ac3d78d961fd5886327ad3.pdf
Mobility-Aware Application Scheduling in Fog Computing,Javier Diaz Montes,IEEE Cloud Computing,2017,2,33,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7912261
,Luiz Fernando Bittencourt,,,,,
,Manish Parashar,,,,,
,Omer F. Rana,,,,,
,Rajkumar Buyya,,,,,
Modeling the co-evolution of behaviors and social relationships using mobile phone data,Alex Pentland,MUM,2011,4,11,http://dl.acm.org/citation.cfm?id=2107613
,Bruno Lepri,,,,,
,Wen Dong,,,,,
Modelling the scaling properties of human mobility,Albert-László Barabási,,2010,39,73,https://pdfs.semanticscholar.org/4ec6/d5e2300da16f0e007d5a72d5c9f12aacb989.pdf
,Chaoming Song,,,,,
,Tal Koren,,,,,
Next place prediction using mobility Markov chains,Marc-Olivier Killijian,MPM '12,2012,10,49,http://dl.acm.org/citation.cfm?id=2181199
,Miguel N&#250;&#241;ez del Prado Cortez,,,,,
,S&#233;bastien Gambs,,,,,
Occupational mobility and the business cycle,Giuseppe Moscarini,,2008,1,,https://pdfs.semanticscholar.org/f253/a693fb3a93535c7c6df1104094f0989e9427.pdf
On Millimeter Wave and THz Mobile Radio Channel for Smart Rail Mobility,Guangkai Li,IEEE Transactions on Vehicular Technology,2017,1,33,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7731243
,Ke Guan,,,,,
,Zhangdui Zhong,,,,,
On the Use of Human Mobility Proxies for Modeling Epidemics,Michele Tizzoni,PLoS Computational Biology,2014,3,17,https://arxiv.org/pdf/1309.7272.pdf
,Paolo Bajardi,,,,,
,Vittoria Colizza,,,,,
On the Use of Human Mobility Proxies for Modeling Epidemics,Michele Tizzoni,PLoS Computational Biology,2014,3,17,https://arxiv.org/pdf/1309.7272.pdf
,Paolo Bajardi,,,,,
,Vittoria Colizza,,,,,
On the properties of human mobility,Gian Paolo Rossi,Computer Communications,2016,,,http://doi.org/10.1016/j.comcom.2016.03.022
,Karim Keramat Jahromi,,,,,
,Matteo Zignani,,,,,
,Michela Papandrea,,,,,
,Sabrina Gaito,,,,,
,Silvia Giordano,,,,,
Once Upon a Crime: Towards Crime Prediction from Demographics and Mobile Data,Alex Pentland,ICMI,2014,5,26,https://arxiv.org/pdf/1409.2983.pdf
,Andrey Bogomolov,,,,,
,Bruno Lepri,,,,,
,Fabio Pianesi,,,,,
,Jacopo Staiano,,,,,
,Nuria Oliver,,,,,
Once Upon a Crime: Towards Crime Prediction from Demographics and Mobile Data,Alex Pentland,ICMI,2014,5,26,https://arxiv.org/pdf/1409.2983.pdf
,Andrey Bogomolov,,,,,
,Bruno Lepri,,,,,
,Fabio Pianesi,,,,,
,Jacopo Staiano,,,,,
,Nuria Oliver,,,,,
Online everywhere: evolving mobile instant messaging practices,Andrew Zaldivar,UbiComp,2008,,,http://dl.acm.org/citation.cfm?id=1409645
,Christopher J. O. Baker,,,,,
,Donald J. Patterson,,,,,
,Kah Liu,,,,,
,Samuel J. Kaufman,,,,,
,Xianghua Ding,,,,,
Oscillation Resolution for Mobile Phone Cellular Tower Data to Enable Mobility Modelling,Amy Shi Nash,2014 IEEE 15th International Conference on Mobile…,2014,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6916937
,Wei Wu,,,,,
,Yue Wang,,,,,
Participatory noise pollution monitoring using mobile phones,Bartek Ochab,Information Polity,2010,10,16,https://pdfs.semanticscholar.org/a26a/b1a06723b4748fc46d905d3a5ed0cf0a0a6e.pdf
,Matthias Stevens,,,,,
,Nicolas Maisonneuve,,,,,
Particle filter for real-time human mobility prediction following unprecedented disaster,Akihito Sudo,SIGSPATIAL/GIS,2016,,,http://dl.acm.org/citation.cfm?id=2997000
,Takehiro Kashiyama,,,,,
,Yoshihide Sekimoto,,,,,
Particle filter for real-time human mobility prediction following unprecedented disaster,Akihito Sudo,SIGSPATIAL/GIS,2016,,,http://dl.acm.org/citation.cfm?id=2997000
,Takehiro Kashiyama,,,,,
,Yoshihide Sekimoto,,,,,
PlaceMap: Discovering Human Places of Interest Using Low-Energy Location Interfaces on Mobile Phones,Abhishek Kumar,ACM DEV,2014,1,,http://dl.acm.org/citation.cfm?id=2674386
,Kuldeep Yadav,,,,,
,Prateek Jassal,,,,,
,Vinayak S. Naik,,,,,
Planet-scale human mobility measurement,Jon A Crowcroft,HotPlanet@MobiSys,2010,,,https://arxiv.org/pdf/0909.3481.pdf
,Michal Piórkowski,,,,,
,Pan Hui,,,,,
,Richard Mortier,,,,,
,Tristan Henderson,,,,,
Predictability of Mobile Phone Associations,Bjørn Sand Jensen,,2010,1,,https://pdfs.semanticscholar.org/b915/cabab99fdd60ef2eb48080932c8ddc338a33.pdf
,Jakob Eg Larsen,,,,,
,Jan Larsen,,,,,
,Kristian Jensen,,,,,
,Lars Kai Hansen,,,,,
Predicting Chinese text entry speeds on mobile phones,Kari-Jouko Räihä,CHI,2010,,,http://dl.acm.org/citation.cfm?id=1753657
,Ying Liu,,,,,
Predicting Mobile Phone User Locations by Exploiting Collective Behavioral Patterns,Daqiang Zhang,2012 9th International Conference on Ubiquitous…,2012,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6331976
,Daqing Zhang,,,,,
,Haoyi Xiong,,,,,
,Vincent Gauthier,,,,,
Predicting Personality Using Novel Mobile Phone-Based Metrics,Alex Pentland,SBP,2013,15,42,https://pdfs.semanticscholar.org/6b7c/d082d71e97bb0dd8f51304e93b83b8178cc3.pdf
,Florent Robic,,,,,
,Jordi Quoidbach,,,,,
,Yves-Alexandre de Montjoye,,,,,
Predicting location using mobile phone calls,Athanasios V. Vasilakos,CCRV,2012,,,http://dl.acm.org/citation.cfm?id=2342417
,Daqiang Zhang,,,,,
,Haoyi Xiong,,,,,
Predicting personal mobility with individual and group travel histories,Giusy Di Lorenzo,,2015,,,https://pdfs.semanticscholar.org/5226/933a515f0785e05165a72e1fe542c1f16348.pdf
Predicting poverty and wealth from mobile phone metadata,Gabriel Cadamuro,Science,2015,5,69,http://doi.org/10.1126/science.aac4420
,Joshua Evan Blumenstock,,,,,
,Robert On,,,,,
Predicting poverty and wealth from mobile phone metadata,Gabriel Cadamuro,Science,2015,5,69,http://doi.org/10.1126/science.aac4420
,Joshua Evan Blumenstock,,,,,
,Robert On,,,,,
Predicting poverty and wealth from mobile phone metadata,Gabriel Cadamuro,Science,2015,5,69,http://doi.org/10.1126/science.aac4420
,Joshua Evan Blumenstock,,,,,
,Robert On,,,,,
Predicting the next location change and time of change for mobile phone users,Ilkcan Keles,MobiGIS,2014,,,http://dl.acm.org/citation.cfm?id=2675318
,Ismail Hakki Toroslu,,,,,
,Mert Ozer,,,,,
,Pinar Senkul,,,,,
,Salih Ergüt,,,,,
Prediction and QoS Enhancement in New Generation Cellular Networks With Mobile Hosts: A Survey on Different Protocols and Conventional/Unconventional Approaches,Floriano de Rango,IEEE Communications Surveys & Tutorials,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7882671
,Mauro Tropea,,,,,
,Peppino Fazio,,,,,
Prediction and Simulation of Human Mobility Following Natural Disasters,Nicholas Jing Yuan,ACM TIST,2016,,,http://dl.acm.org/citation.cfm?id=2970819
,Quanshi Zhang,,,,,
,Ryosuke Shibasaki,,,,,
,Xing Xie,,,,,
,Xuan Song,,,,,
,Yoshihide Sekimoto,,,,,
Prediction limits of mobile phone activity modelling,Carlo Ratti,Royal Society open science,2017,,,https://pdfs.semanticscholar.org/bfed/b79fbed67ae2bb361830a71994cae0f064f1.pdf
,Dániel Kondor,,,,,
,István Gódor,,,,,
,Sebastian Grauwin,,,,,
,Stanislav Sobolevsky,,,,,
,Zsófia Kallus,,,,,
Prediction limits of mobile phone activity modelling,Carlo Ratti,Royal Society open science,2017,,,https://pdfs.semanticscholar.org/bfed/b79fbed67ae2bb361830a71994cae0f064f1.pdf
,Dániel Kondor,,,,,
,István Gódor,,,,,
,Sebastian Grauwin,,,,,
,Stanislav Sobolevsky,,,,,
,Zsófia Kallus,,,,,
Prediction of urban human mobility using large-scale taxi traces and its applications,Gang Pan,Frontiers of Computer Science,2011,5,24,http://doi.org/10.1007/s11704-011-1192-6
,Xiaolong Li,,,,,
,Zonghui Wang,,,,,
Probabilistic Mining of Socio-Geographic Routines From Mobile Phone Data,Daniel Gatica-Perez,IEEE Journal of Selected Topics in Signal…,2010,4,10,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5457969
,Katayoun Farrahi,,,,,
Probabilistic human mobility model in indoor environment,Bo Tang,2016 International Joint Conference on Neural…,2016,,,https://arxiv.org/pdf/1606.08528.pdf
,Chao Jiang,,,,,
,Haibo He,,,,,
,Yi Guo,,,,,
Propagation Models and Analysis for Mobile Phone Data Analytics,Derek Doran,Propagation Phenomena in Real World Networks,2015,,,https://pdfs.semanticscholar.org/b054/1f76d314fc4a113404ef87f1c18c6078f36d.pdf
,Veena B. Mendiratta,,,,,
Quantifying crowd size with mobile phone and Twitter data,Federico Botta,Royal Society open science,2015,2,17,https://pdfs.semanticscholar.org/59d2/0d2581a6f6930b43d1b6ca11724d8f0ae388.pdf
,Helen Susannah Moat,,,,,
,Tobias Preis,,,,,
